순번(SEQ),제목(TITLE),등록일(REG_DATE),실제파일이름(REAL_FILENAME)
1,사용자설명회자료,2009-11-25,물류설명회(20020710)-자료.ppt
2,고속철도건설의 사업소개 내용,2009-11-25,construct.zip
3,고속철도운영 준비상황 및 구축내용,2009-11-25,manage.zip
4,고속열차 성능 및 설비소개,2009-11-25,speed.gif
5,세계의 고속열차 소개자료 - (1) 일본,2009-11-25,worldtrain(1).zip
6,세계의 고속철도 소개자료 - (2) 유럽,2009-11-25,worldtrain(2).zip
7,화물수송차량 소개내용,2009-11-25,trans.zip
8,한국철도의 전반적인 서비스 내용,2009-11-25,korail.gif
9,"첨단 기술의 총아, 고속철도를 해부한다",2009-11-25,
10,고속철도 개통 이후의 문제점과 시정1,2009-11-25,
11,고속철도 개통 이후의 문제점과 시정2,2009-11-25,
12,고속철도 개통 이후의 문제점과 시정2,2009-11-25,
13,물류정보교재 #1,2009-12-09,물류사용자교육(20040414).alz
14,물류정보교재 #2,2009-12-09,물류사용자교육(20040414).a00
15,철도화물운송약관,2009-12-09,200501=철도화물운송약관.hwp
16,철도화물운송약관 및 동 세칙 개정(안) 고객설명회와 의견수렴,2009-12-09,1-6.세칙개정안(080729).hwp
17,철도화물 탄력할인율(2009.10.5일 시행),2009-12-09,일반화물탄력운임 시행(09.10.05).hwp
18,철도화물운송약관 및 세칙 ,2009-12-09,1-1 081231 약관전면개정(안)전문(기본).hwp
19,철도영업거리 변경알림,2009-12-09,철도영업거리표개정내역-20081208.hwp
20,화물운송약관 및 세칙,2009-12-09,"화물운송약관,세칙(09.11.1현재).hwp"
21,물류정보서비스 화물예약 사용 예시,2009-12-24,물류정보서비스_화물예약_시작.pdf
22,물류정보서비스 사용자메뉴얼,2009-12-24,물류정보서비스_사용자메뉴얼.pdf
23,철도화물예약 시행계획(녹색물류팀-38호 붙임),2010-01-21,철도화물예약시행계획(100119).pdf
24,화물열차운행체계개편(2010년4월1일부터 시행),2010-03-26,화물열차_비수기.pdf
30,"철도거리표 변경고시(경춘선, 부산신항선, 경전선)",2010-12-21,경춘선 고시.pdf
29,부산신항 철송장 이용 관련 안내,2010-12-02,고객사설명회자료.hwp
31,"철도화물운송 약관,세칙,수송지침 ",2011-01-07,화물운송 세칙.hwp
32,철도거리표 변경고시(중앙선 제천∼도담간 영업고시),2011-04-01,[관보]중앙선 제천∼도담간 영업고시.hwp
33,철도영업거리변경알림,2011-05-12,철도영업거리표개정내역-20110506.hwp
34,철도영업거리변경알림,2011-05-19,철도영업거리표개정내역-20110511.hwp
36,철도영업고시 알림,2011-05-27,전라선 및 경전선 철도건설사업 관련 영업고시 알림.hwp
37,철도화물운송세칙 일부 개정 시행,2015-01-07,110525- 철도화물영업업무편람(방침사항)  전문.hwp
39,철도영업거리변경알림,2011-09-05,철도영업거리표개정내역-20110825.hwp
40,철도 특정노선 폐지 공고,2012-01-19,철도 특정노선 폐지 공고.hwp
43,철도영업거리변경고시,2012-06-21,영동선 동백산～도계간 철도이설 관련.hwp
48,철도영업거리변경고시(경전선),2012-10-24,고시문(국토해양부-697호).hwp
46,"화물운송 세칙(개정 2012-58호, 2012.06.26)",2012-06-27,화물운송 세칙(전문).hwp
47,철도영업거리변경고시(중앙선),2012-09-25,20120925_철도거리표 개정.hwp
50,화물운송세칙('13.10.1.기준),2014-05-21,화물운송세칙 ('13.10.1)hwp.pdf
51,화물전산 및 장표지침,2013-10-11,화물전산및장표지침(20090918).hwp
52,화물수송 지침,2013-10-11,화물수송지침(2012.03.30).hwp
53,철도화물운송약관 일부 개정 알림('13. 10. 24),2013-10-18,
54,화차회송료 운임계산 방법 및 부과방법 변경 알림,2014-08-06,화차회송료 부과방법 변경 알림.hwp
55,화물운송세칙 개정시행 알림(20150101),2015-01-07,개정문안.hwp
57,화물운송세칙 개정알림,2015-12-30,신구조문 대비표.hwp
58,주한미군 사유화차 회송운임 부과방법 변경 알림,2015-09-02,
59,화물전산 및 장표지침 폐지 및 취급기준 알림,2014-04-20,화물전산 및 장표 취급기준 전문.hwp
60,2016년 간선 컨테이너 월말 열차 운영방안 알림,2016-01-01,
61,후급 결재일 변경 알림,2018-07-11,
62,2016년 철도전환교통 협약대상자 모집 공고 알림,2016-02-20,2016년_철도전환교통_협약사업자_공모.hwp
63,"화물운송 약관, 세칙개정(17.1.1일 시행)",2017-03-08,161222=화물운송 약관 전문(최종).hwp
64,화물운송 약관 개정(17.10.16일 시행),2017-09-29,170929=화물운송 약관 전문(최종).hwp
